name,Population,Parent,Count,ParentCount
Specimen_001_A1_A01_001.fcs,',',',647
Specimen_002_B1_B01_009.fcs,',',',368
Specimen_002_C1_C01_017.fcs,',',',496
Specimen_002_D1_D01_025.fcs,',',',413
Specimen_002_A2_A02_002.fcs,',',',585
Specimen_002_B2_B02_010.fcs,',',',397
Specimen_002_C2_C02_018.fcs,',',',368
Specimen_002_D2_D02_026.fcs,',',',404
Specimen_002_A3_A03_003.fcs,',',',551
Specimen_002_B3_B03_011.fcs,',',',404
Specimen_002_C3_C03_019.fcs,',',',263
Specimen_002_D3_D03_027.fcs,',',',260
Specimen_002_A4_A04_004.fcs,',',',517
Specimen_002_B4_B04_012.fcs,',',',474
Specimen_002_C4_C04_020.fcs,',',',310
Specimen_002_D4_D04_028.fcs,',',',342
Specimen_002_A5_A05_005.fcs,',',',501
Specimen_002_B5_B05_013.fcs,',',',453
Specimen_002_C5_C05_021.fcs,',',',394
Specimen_002_D5_D05_029.fcs,',',',345
Specimen_002_A6_A06_006.fcs,',',',716
Specimen_002_B6_B06_014.fcs,',',',771
Specimen_002_C6_C06_022.fcs,',',',399
Specimen_002_D6_D06_030.fcs,',',',1116
Specimen_002_A7_A07_007.fcs,',',',798
Specimen_002_B7_B07_015.fcs,',',',761
Specimen_002_C7_C07_023.fcs,',',',705
Specimen_002_A8_A08_008.fcs,',',',836
Specimen_002_B8_B08_016.fcs,',',',838
Specimen_002_C8_C08_024.fcs,',',',899
