,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
0 days 00:09:00,0.321,0.317,0.315,0.314,0.316,0.32,0.315,0.316,0.32,0.314,0.316,0.318,0.316,0.318,0.322,0.321,0.32,0.319,0.318,0.299,0.287,0.32299999999999995,0.321,0.317,0.322,0.325,0.32899999999999996,0.331,0.33299999999999996,0.335,0.33399999999999996,0.33399999999999996,0.33399999999999996,0.335,0.32799999999999996,0.314,0.305,0.304,0.324,0.331,0.33399999999999996,0.337,0.33,0.319,0.33,0.32799999999999996,0.32299999999999995,0.313,0.311,0.316,0.319,0.321,0.316,0.316,0.318,0.32,0.318,0.318,0.316,0.316,0.3,0.304,0.308,0.308,0.308,0.198,0.31,0.312,0.313,0.31,0.309,0.304,0.292,0.294,0.302,0.299,0.302,0.319,0.308,0.303,0.307,0.306,0.297,0.3,0.304,0.302,0.302,0.303,0.3,0.3,0.305,0.302,0.3,0.303,0.307,0.308
0 days 00:19:00,0.344,0.33899999999999997,0.33799999999999997,0.33799999999999997,0.33799999999999997,0.34299999999999997,0.33899999999999997,0.33899999999999997,0.345,0.33899999999999997,0.34,0.344,0.341,0.34700000000000003,0.34700000000000003,0.34600000000000003,0.345,0.345,0.34299999999999997,0.32299999999999995,0.318,0.349,0.348,0.345,0.34700000000000003,0.34299999999999997,0.34600000000000003,0.35200000000000004,0.35,0.355,0.355,0.353,0.35200000000000004,0.35600000000000004,0.348,0.337,0.317,0.319,0.336,0.344,0.35200000000000004,0.35100000000000003,0.348,0.33299999999999996,0.34700000000000003,0.341,0.337,0.33299999999999996,0.33799999999999997,0.342,0.344,0.34600000000000003,0.34299999999999997,0.344,0.34299999999999997,0.342,0.344,0.34600000000000003,0.345,0.34600000000000003,0.321,0.326,0.331,0.332,0.33299999999999996,0.218,0.336,0.337,0.336,0.335,0.335,0.331,0.295,0.302,0.31,0.308,0.314,0.321,0.314,0.309,0.313,0.311,0.303,0.305,0.325,0.326,0.325,0.327,0.322,0.324,0.32299999999999995,0.325,0.326,0.32799999999999996,0.33299999999999996,0.335
0 days 00:29:00,0.374,0.369,0.366,0.36700000000000005,0.366,0.371,0.366,0.368,0.368,0.366,0.369,0.374,0.36700000000000005,0.373,0.375,0.371,0.371,0.369,0.369,0.358,0.358,0.379,0.38,0.38,0.37799999999999995,0.368,0.368,0.371,0.371,0.379,0.376,0.37799999999999995,0.376,0.379,0.375,0.366,0.33899999999999997,0.348,0.353,0.359,0.366,0.36700000000000005,0.363,0.348,0.363,0.359,0.36,0.358,0.365,0.368,0.368,0.37,0.364,0.369,0.371,0.37,0.371,0.373,0.374,0.376,0.342,0.348,0.354,0.35600000000000004,0.354,0.242,0.366,0.364,0.36200000000000004,0.359,0.36200000000000004,0.359,0.303,0.314,0.321,0.319,0.32299999999999995,0.32299999999999995,0.324,0.32,0.322,0.322,0.315,0.314,0.35600000000000004,0.353,0.358,0.35600000000000004,0.355,0.359,0.35700000000000004,0.355,0.358,0.36,0.37,0.368
0 days 00:39:00,0.397,0.39399999999999996,0.39399999999999996,0.392,0.392,0.396,0.39299999999999996,0.396,0.391,0.39299999999999996,0.396,0.39899999999999997,0.392,0.4,0.39899999999999997,0.39799999999999996,0.39799999999999996,0.397,0.39799999999999996,0.397,0.405,0.409,0.414,0.418,0.40700000000000003,0.38799999999999996,0.387,0.387,0.391,0.40299999999999997,0.397,0.39799999999999996,0.39799999999999996,0.39899999999999997,0.397,0.389,0.35700000000000004,0.36200000000000004,0.368,0.374,0.38,0.382,0.37799999999999995,0.361,0.37799999999999995,0.375,0.376,0.377,0.392,0.39299999999999996,0.392,0.397,0.39299999999999996,0.39299999999999996,0.396,0.39,0.39899999999999997,0.395,0.4,0.406,0.374,0.371,0.37799999999999995,0.382,0.379,0.253,0.396,0.39299999999999996,0.38799999999999996,0.382,0.38799999999999996,0.387,0.313,0.322,0.325,0.322,0.326,0.326,0.32899999999999996,0.32799999999999996,0.32899999999999996,0.327,0.325,0.324,0.397,0.39299999999999996,0.395,0.396,0.392,0.396,0.392,0.39299999999999996,0.395,0.401,0.408,0.406
0 days 00:49:00,0.426,0.42,0.42,0.42,0.419,0.423,0.42100000000000004,0.42200000000000004,0.423,0.423,0.424,0.42700000000000005,0.41200000000000003,0.43200000000000005,0.428,0.42700000000000005,0.426,0.42700000000000005,0.42700000000000005,0.434,0.45299999999999996,0.449,0.449,0.451,0.436,0.408,0.409,0.408,0.41200000000000003,0.424,0.418,0.42200000000000004,0.42,0.42200000000000004,0.419,0.40700000000000003,0.374,0.381,0.38299999999999995,0.38799999999999996,0.4,0.39899999999999997,0.395,0.374,0.392,0.39,0.39399999999999996,0.39399999999999996,0.42,0.419,0.418,0.424,0.42,0.42,0.42700000000000005,0.42200000000000004,0.429,0.43,0.426,0.425,0.40299999999999997,0.387,0.402,0.41,0.405,0.272,0.428,0.42100000000000004,0.41200000000000003,0.41,0.41,0.41,0.317,0.32899999999999996,0.327,0.326,0.32899999999999996,0.33,0.335,0.33399999999999996,0.33399999999999996,0.332,0.332,0.331,0.424,0.423,0.423,0.426,0.42200000000000004,0.424,0.42700000000000005,0.426,0.42700000000000005,0.431,0.43799999999999994,0.43799999999999994
0 days 00:59:00,0.45,0.445,0.445,0.446,0.445,0.449,0.44799999999999995,0.449,0.447,0.447,0.452,0.451,0.43,0.45899999999999996,0.45899999999999996,0.45299999999999996,0.455,0.457,0.45899999999999996,0.469,0.498,0.473,0.479,0.48100000000000004,0.45899999999999996,0.426,0.428,0.426,0.431,0.447,0.442,0.442,0.441,0.44299999999999995,0.43799999999999994,0.43200000000000005,0.385,0.392,0.39899999999999997,0.40299999999999997,0.418,0.414,0.41,0.38799999999999996,0.406,0.40299999999999997,0.408,0.41,0.444,0.444,0.444,0.449,0.444,0.445,0.455,0.445,0.455,0.455,0.457,0.461,0.426,0.415,0.426,0.433,0.426,0.315,0.456,0.446,0.43700000000000006,0.431,0.435,0.43700000000000006,0.33,0.33399999999999996,0.33299999999999996,0.332,0.33399999999999996,0.337,0.341,0.34,0.33799999999999997,0.337,0.33399999999999996,0.336,0.44799999999999995,0.449,0.445,0.44799999999999995,0.444,0.446,0.45299999999999996,0.456,0.449,0.45399999999999996,0.46399999999999997,0.469
0 days 01:09:00,0.47,0.465,0.466,0.46799999999999997,0.469,0.474,0.47100000000000003,0.47200000000000003,0.467,0.46799999999999997,0.47200000000000003,0.47200000000000003,0.46299999999999997,0.484,0.48200000000000004,0.479,0.483,0.48,0.485,0.503,0.542,0.501,0.505,0.512,0.478,0.442,0.445,0.44299999999999995,0.449,0.47,0.462,0.46,0.45899999999999996,0.462,0.45399999999999996,0.449,0.39299999999999996,0.40700000000000003,0.413,0.414,0.434,0.425,0.42200000000000004,0.401,0.418,0.41600000000000004,0.42100000000000004,0.423,0.46799999999999997,0.467,0.47,0.474,0.47,0.47200000000000003,0.483,0.46799999999999997,0.483,0.48200000000000004,0.486,0.488,0.447,0.43200000000000005,0.447,0.455,0.451,0.34,0.485,0.47,0.462,0.45899999999999996,0.46,0.462,0.335,0.337,0.337,0.33799999999999997,0.341,0.342,0.341,0.35,0.342,0.34299999999999997,0.34299999999999997,0.34299999999999997,0.46799999999999997,0.47200000000000003,0.466,0.47100000000000003,0.465,0.466,0.479,0.479,0.473,0.475,0.48700000000000004,0.496
0 days 01:19:00,0.485,0.478,0.48200000000000004,0.485,0.486,0.49,0.489,0.49,0.485,0.485,0.489,0.488,0.484,0.51,0.512,0.508,0.51,0.504,0.516,0.537,0.586,0.534,0.535,0.547,0.493,0.45899999999999996,0.462,0.45899999999999996,0.46399999999999997,0.489,0.479,0.478,0.474,0.479,0.47100000000000003,0.46399999999999997,0.406,0.414,0.42,0.425,0.447,0.434,0.436,0.41,0.428,0.42700000000000005,0.43,0.433,0.496,0.49,0.498,0.504,0.5,0.501,0.518,0.5,0.513,0.513,0.513,0.516,0.469,0.452,0.47200000000000003,0.48200000000000004,0.47600000000000003,0.375,0.516,0.496,0.488,0.483,0.485,0.48700000000000004,0.341,0.344,0.34299999999999997,0.345,0.348,0.349,0.348,0.359,0.34700000000000003,0.348,0.344,0.354,0.488,0.491,0.489,0.48700000000000004,0.48700000000000004,0.483,0.502,0.502,0.496,0.499,0.511,0.518
0 days 01:29:00,0.49700000000000005,0.49200000000000005,0.498,0.5,0.501,0.504,0.503,0.505,0.507,0.5,0.503,0.502,0.507,0.536,0.539,0.534,0.5379999999999999,0.513,0.544,0.568,0.628,0.56,0.562,0.5770000000000001,0.503,0.469,0.474,0.473,0.475,0.501,0.49,0.489,0.485,0.489,0.483,0.47600000000000003,0.41200000000000003,0.423,0.43,0.434,0.455,0.44299999999999995,0.44299999999999995,0.41700000000000004,0.43700000000000006,0.436,0.439,0.44,0.523,0.519,0.527,0.531,0.532,0.53,0.552,0.524,0.54,0.541,0.54,0.54,0.49,0.47,0.496,0.506,0.499,0.408,0.546,0.518,0.511,0.504,0.509,0.515,0.34700000000000003,0.35100000000000003,0.349,0.35,0.35200000000000004,0.35600000000000004,0.358,0.369,0.353,0.35200000000000004,0.35100000000000003,0.359,0.508,0.509,0.503,0.501,0.501,0.498,0.517,0.523,0.512,0.516,0.528,0.535
0 days 01:39:00,0.509,0.506,0.51,0.511,0.514,0.515,0.516,0.516,0.514,0.512,0.515,0.512,0.527,0.5589999999999999,0.562,0.5579999999999999,0.561,0.542,0.568,0.601,0.6679999999999999,0.574,0.586,0.608,0.516,0.48,0.48700000000000004,0.486,0.483,0.514,0.502,0.502,0.496,0.499,0.494,0.486,0.419,0.429,0.435,0.444,0.466,0.45299999999999996,0.45399999999999996,0.428,0.444,0.444,0.446,0.44299999999999995,0.552,0.547,0.556,0.56,0.563,0.56,0.5770000000000001,0.5539999999999999,0.565,0.5670000000000001,0.568,0.564,0.513,0.49,0.519,0.532,0.521,0.526,0.5760000000000001,0.542,0.535,0.528,0.529,0.535,0.35100000000000003,0.35600000000000004,0.353,0.355,0.35700000000000004,0.361,0.363,0.37799999999999995,0.358,0.359,0.359,0.365,0.521,0.527,0.513,0.52,0.514,0.515,0.544,0.542,0.532,0.537,0.5479999999999999,0.556
